Name,Sex,Age,Height,Weight,NOC,Year,Season,Sport,Event,Medals
"Victoria ""Vicki"" Adams",F,24,164,69,GBR,2014,Winter,Curling,Curling Women's Curling,Bronze
Valerie Kasanita Adams-Vili (-Price),F,23,193,120,NZL,2008,Summer,Athletics,Athletics Women's Shot Put,Gold
Valerie Kasanita Adams-Vili (-Price),F,27,193,120,NZL,2012,Summer,Athletics,Athletics Women's Shot Put,Gold
Valerie Kasanita Adams-Vili (-Price),F,31,193,120,NZL,2016,Summer,Athletics,Athletics Women's Shot Put,Silver
Filip Kamil Adamski,M,29,189,87,GER,2012,Summer,Rowing,Rowing Men's Coxed Eights,Gold
Herbert Adamski,M,26,,,GER,1936,Summer,Rowing,Rowing Men's Coxed Pairs,Gold
Jerzy Adamski,M,23,171,58,POL,1960,Summer,Boxing,Boxing Men's Featherweight,Silver
Simon Addo,M,17,180,79,GHA,1992,Summer,Football,Football Men's Football,Bronze
Olubayo Adefemi,M,22,181,82,NGR,2008,Summer,Football,Football Men's Football,Silver
"Ayodele ""Dele"" Adeleye",M,19,190,80,NGR,2008,Summer,Football,Football Men's Football,Silver
Ademir Roque Kaefer,M,24,179,74,BRA,1984,Summer,Football,Football Men's Football,Silver
Ademir Roque Kaefer,M,28,179,74,BRA,1988,Summer,Football,Football Men's Football,Silver
Olapade Charles Adeniken,M,22,186,78,NGR,1992,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
Adenzia Aparecida Ferreira da Silva,F,25,187,65,BRA,2012,Summer,Volleyball,Volleyball Women's Volleyball,Gold
"Richard ""Richy""  Adjei",M,27,190,110,GER,2010,Winter,Bobsleigh,Bobsleigh Men's Two,Silver
Sammi Adjei,M,18,,,GHA,1992,Summer,Football,Football Men's Football,Bronze
"Charles ""Chuck"" Adkins",M,20,,,USA,1952,Summer,Boxing,Boxing Men's Light-Welterweight,Gold
Derrick Ralph Adkins,M,26,188,80,USA,1996,Summer,Athletics,Athletics Men's 400 metres Hurdles,Gold
"Robert Edward ""Bob"" Adlard",M,32,,,GBR,1948,Summer,Hockey,Hockey Men's Hockey,Silver
Daniel Adler,M,26,180,72,BRA,1984,Summer,Sailing,Sailing Mixed Three Person Keelboat,Silver
Egon Adler,M,23,172,62,GER,1960,Summer,Cycling,Cycling Men's 100 kilometres Team Time Trial,Silver
"Margarete ""Grete"" Adler",F,16,,,AUT,1912,Summer,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
Erik William Adlerz,M,19,,,SWE,1912,Summer,Diving,Diving Men's Platform,Gold
Erik William Adlerz,M,19,,,SWE,1912,Summer,Diving,Diving Men's Plain High,Gold
Erik William Adlerz,M,27,,,SWE,1920,Summer,Diving,Diving Men's Platform,Silver
"Rebecca ""Becky"" Adlington",F,19,179,70,GBR,2008,Summer,Swimming,Swimming Women's 400 metres Freestyle,Gold
"Rebecca ""Becky"" Adlington",F,19,179,70,GBR,2008,Summer,Swimming,Swimming Women's 800 metres Freestyle,Gold
"Rebecca ""Becky"" Adlington",F,23,179,70,GBR,2012,Summer,Swimming,Swimming Women's 400 metres Freestyle,Bronze
"Rebecca ""Becky"" Adlington",F,23,179,70,GBR,2012,Summer,Swimming,Swimming Women's 800 metres Freestyle,Bronze
Dainius Adomaitis,M,26,202,100,LTU,2000,Summer,Basketball,Basketball Men's Basketball,Bronze
Nathan Ghar-Jun Adrian,M,19,198,100,USA,2008,Summer,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
Nathan Ghar-Jun Adrian,M,23,198,100,USA,2012,Summer,Swimming,Swimming Men's 100 metres Freestyle,Gold
Nathan Ghar-Jun Adrian,M,23,198,100,USA,2012,Summer,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Silver
Nathan Ghar-Jun Adrian,M,23,198,100,USA,2012,Summer,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
Nathan Ghar-Jun Adrian,M,27,198,100,USA,2016,Summer,Swimming,Swimming Men's 50 metres Freestyle,Bronze
Nathan Ghar-Jun Adrian,M,27,198,100,USA,2016,Summer,Swimming,Swimming Men's 100 metres Freestyle,Bronze
Nathan Ghar-Jun Adrian,M,27,198,100,USA,2016,Summer,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
Nathan Ghar-Jun Adrian,M,27,198,100,USA,2016,Summer,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
Adriana Aparecida dos Santos,F,25,180,61,BRA,1996,Summer,Basketball,Basketball Women's Basketball,Silver
Adriana Aparecida dos Santos,F,29,180,61,BRA,2000,Summer,Basketball,Basketball Women's Basketball,Bronze
"Adriana ""Adrianinha"" Moiss Pinto",F,21,170,65,BRA,2000,Summer,Basketball,Basketball Women's Basketball,Bronze
Klaus Aeffke,M,24,189,82,GER,1964,Summer,Rowing,Rowing Men's Coxed Eights,Silver
Kseniya Dmitriyevna Afanasyeva,F,20,158,48,RUS,2012,Summer,Gymnastics,Gymnastics Women's Team All-Around,Silver
Maksim Sergeyevich Afinogenov,M,22,183,88,RUS,2002,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
"Olabisi ""Bisi"" Afolabi",F,20,180,62,NGR,1996,Summer,Athletics,Athletics Women's 4 x 400 metres Relay,Silver
Felicia Afrsiloaie (-Jitianu),F,22,178,70,ROU,1976,Summer,Rowing,Rowing Women's Coxed Quadruple Sculls,Bronze
Cecil Sebastian Afrika,M,28,175,75,RSA,2016,Summer,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,Bronze
Muhammad Afzal Manna,M,25,173,76,PAK,1964,Summer,Hockey,Hockey Men's Hockey,Silver
"Timothy Ernest Victor Kwizera ""Tim"" Agaba",M,27,193,104,RSA,2016,Summer,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,Bronze
Lavinia Agache (-Carney),F,16,148,40,ROU,1984,Summer,Gymnastics,Gymnastics Women's Team All-Around,Gold
Lavinia Agache (-Carney),F,16,148,40,ROU,1984,Summer,Gymnastics,Gymnastics Women's Horse Vault,Bronze
Luca Agamennoni,M,24,187,93,ITA,2004,Summer,Rowing,Rowing Men's Coxless Fours,Bronze
Luca Agamennoni,M,27,187,93,ITA,2008,Summer,Rowing,Rowing Men's Quadruple Sculls,Silver
Andre Kirk Agassi,M,26,180,80,USA,1996,Summer,Tennis,Tennis Men's Singles,Gold
Clarisse Agbegnenou,F,23,164,66,FRA,2016,Summer,Judo,Judo Women's Half-Middleweight,Silver
Henrik Agersborg,M,47,,,NOR,1920,Summer,Sailing,Sailing Mixed 6 metres,Bronze
Viktor Ivanovich Ageyev,M,20,184,80,URS,1956,Summer,Water Polo,Water Polo Men's Water Polo,Bronze
Viktor Ivanovich Ageyev,M,24,184,80,URS,1960,Summer,Water Polo,Water Polo Men's Water Polo,Silver
Viktor Ivanovich Ageyev,M,28,184,80,URS,1964,Summer,Water Polo,Water Polo Men's Water Polo,Bronze
Marilyn Agliotti,F,29,172,58,NED,2008,Summer,Hockey,Hockey Women's Hockey,Gold
Marilyn Agliotti,F,33,172,58,NED,2012,Summer,Hockey,Hockey Women's Hockey,Gold
Yannick Agnel,M,20,202,90,FRA,2012,Summer,Swimming,Swimming Men's 200 metres Freestyle,Gold
Yannick Agnel,M,20,202,90,FRA,2012,Summer,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
Yannick Agnel,M,20,202,90,FRA,2012,Summer,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Silver
Meghan Christina Agosta (-Marciano),F,18,168,67,CAN,2006,Winter,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
Meghan Christina Agosta (-Marciano),F,23,168,67,CAN,2010,Winter,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
Meghan Christina Agosta (-Marciano),F,26,168,67,CAN,2014,Winter,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
"Benjamin Alexandro ""Ben"" Agosto",M,24,178,75,USA,2006,Winter,Figure Skating,Figure Skating Mixed Ice Dancing,Silver
Erik Alfred gren,M,20,,,SWE,1936,Summer,Boxing,Boxing Men's Lightweight,Bronze
"Estella ""Stella"" Agsteribbe (-Blits)",F,19,,,NED,1928,Summer,Gymnastics,Gymnastics Women's Team All-Around,Gold
Sergio Leonel Agero del Castillo,M,20,172,74,ARG,2008,Summer,Football,Football Men's Football,Gold
"Taismary ""Tai"" Agero Leiva (-Botteghi)",F,23,175,70,CUB,2000,Summer,Volleyball,Volleyball Women's Volleyball,Gold
Jos Aguilar Pulsn,M,20,173,64,CUB,1980,Summer,Boxing,Boxing Men's Light-Welterweight,Bronze
Macarena Aguilar Daz,F,27,170,67,ESP,2012,Summer,Handball,Handball Women's Handball,Bronze
Sandra Aguilar Navarro,F,23,167,50,ESP,2016,Summer,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Silver
Jorge Luis Aguilera Ruiz,M,26,172,64,CUB,1992,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze
Sri Wahyuni Agustiani,F,21,147,47,INA,2016,Summer,Weightlifting,Weightlifting Women's Flyweight,Silver
Robyn Mokihana Ah Mow-Santos,F,32,172,67,USA,2008,Summer,Volleyball,Volleyball Women's Volleyball,Silver
Kevin Joseph Ahearn,M,23,175,73,USA,1972,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
"Timothy Joseph ""Tim"" Ahearne",M,22,170,57,GBR,1908,Summer,Athletics,Athletics Men's Triple Jump,Gold
Bruno Valfrid Ahlberg,M,21,168,69.5,FIN,1932,Summer,Boxing,Boxing Men's Welterweight,Bronze
Mats Bertil hlberg,M,32,179,78,SWE,1980,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
Annica Gunilla hln,F,27,177,75,SWE,2002,Winter,Ice Hockey,Ice Hockey Women's Ice Hockey,Bronze
Johan Petter hln (Andersson-),M,44,,,SWE,1924,Winter,Curling,Curling Men's Curling,Silver
Thomas Valter hln,M,24,182,90,SWE,1984,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
George Lewis Ahlgren,M,19,,,USA,1948,Summer,Rowing,Rowing Men's Coxed Eights,Gold
Thure Johan Ahlqvist,M,25,,,SWE,1932,Summer,Boxing,Boxing Men's Lightweight,Silver
"Sten Olov ""Olle"" hlund",M,31,,,SWE,1952,Summer,Football,Football Men's Football,Bronze
Tontowi Ahmad,M,29,179,72,INA,2016,Summer,Badminton,Badminton Mixed Doubles,Gold
Arne Per hman,M,23,176,64,SWE,1948,Summer,Athletics,Athletics Men's Triple Jump,Gold
Jrg Ahmann,M,34,190,88,GER,2000,Summer,Beach Volleyball,Beach Volleyball Men's Beach Volleyball,Bronze
"Christine M. ""Crissy"" Ahmann-Leighton (-Perham)",F,22,172,52,USA,1992,Summer,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
"Christine M. ""Crissy"" Ahmann-Leighton (-Perham)",F,22,172,52,USA,1992,Summer,Swimming,Swimming Women's 100 metres Butterfly,Silver
"Christine M. ""Crissy"" Ahmann-Leighton (-Perham)",F,22,172,52,USA,1992,Summer,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold
Muhammad Akhlaq Ahmed,M,20,,,PAK,1992,Summer,Hockey,Hockey Men's Hockey,Bronze
Muhammad Ashfaq Ahmed,M,21,162,62,PAK,1968,Summer,Hockey,Hockey Men's Hockey,Gold
Bashir Ahmed,M,25,171,67,PAK,1960,Summer,Hockey,Hockey Men's Hockey,Gold
Ishtiaq Ahmed,M,21,170,62,PAK,1984,Summer,Hockey,Hockey Men's Hockey,Gold
Manzoor Ahmed,M,24,169,75,PAK,1992,Summer,Hockey,Hockey Men's Hockey,Bronze
Mushtaq Ahmed,M,28,170,70,PAK,1984,Summer,Hockey,Hockey Men's Hockey,Gold
Mushtaq Ahmed,M,27,173,61,PAK,1960,Summer,Hockey,Hockey Men's Hockey,Gold
Riaz Ahmed,M,27,150,70,PAK,1968,Summer,Hockey,Hockey Men's Hockey,Gold
Riaz Ahmed,M,30,150,70,PAK,1972,Summer,Hockey,Hockey Men's Hockey,Silver
Shahbaz Ahmed,M,23,175,61,PAK,1992,Summer,Hockey,Hockey Men's Hockey,Bronze
Arthur Ahnger,M,26,,,FIN,1912,Summer,Sailing,Sailing Mixed 8 metres,Bronze
Peter Ahrendt,M,30,169,66,GER,1964,Summer,Sailing,Sailing Mixed Three Person Keelboat,Silver
Brigitte Ahrenholz,F,23,178,85,GDR,1976,Summer,Rowing,Rowing Women's Coxed Eights,Gold
